AWA,AWS,HOG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
84.9008144648,8.64195290616,0.0,0.0851095295125,0.0165848496187,-23.9480327783,1.90752573982e-07,1.5135405755e-08,0,0,0,0,-0.000965562400655,0,0
67.715310952,8.8604258098,0.0,0.0554737704145,0.0511126071235,-23.9366390689,3.06431827717e-07,6.17601071398e-08,0,0.0,0,0,-0.003940490265,0,0
58.3168345225,8.99194803186,-0.0599244700021,0.0473437258499,0.0611728106739,-23.7986615408,3.97261482689e-07,1.17258800396e-07,-21,0.0,0,0,-0.00748223927631,0,0
64.8127688178,8.90738967087,-0.118751385051,0.0501126130622,0.0535239717793,-23.3266800415,4.99460944286e-07,1.64687019428e-07,-21,0.0,0,-0.00748223927633,-0.0105098119725,0,100.0
67.1721127327,9.05219651066,-0.176500847567,0.0507012055429,0.0500476570401,-23.0815434369,6.04751590007e-07,2.08367599311e-07,-21,0.0,0,-0.0105098119725,-0.0132989298872,0,100.0
-46.3867674883,8.97580650451,-0.233192591781,0.104700524711,0.182342074662,-23.2074253176,4.32943815295e-07,3.69285572719e-07,-21,0.0,0,-0.0132989298872,-0.023564906629,0,100.0
-53.8739990857,9.07596229149,-0.345508234712,0.161817494643,0.240636234129,-22.9559397039,1.35992066473e-07,5.79478239038e-07,-21,-15.0,0,-0.023564906629,-0.0369655242762,0,100.0
-34.5160861633,9.15712594623,-0.651211073634,0.126844621433,0.271174700834,-22.7832006698,-2.74651723423e-08,8.13171136297e-07,-45,-15.0,0,-0.0369655242762,-0.0518635936577,0,100.0
-35.3665057243,8.96210369848,-1.03758583945,0.175055529232,0.376328492181,-22.5566664077,-2.5894196264e-07,1.13148258182e-06,-45,-15.0,0,-0.0518635936577,-0.0721467084871,0,100.0
3.44786868822,8.9282138123,-1.41688390458,0.117683783219,0.326040771859,-22.1756429091,-2.42817342085e-07,1.39557971246e-06,-45,-15.0,0,-0.0721467084869,-0.0889879025781,0,100.0
21.5981046573,8.99290199292,-1.82580502811,0.106358466385,0.284388879829,-21.9321873601,-1.53818657935e-07,1.61752690878e-06,-45,-15.0,1,30.0,-0.103150356847,0,100.0
60.1777651159,8.96493550558,-1.92757146422,0.143223365444,0.217027047605,-21.6043080205,1.2775795023e-07,1.7737473931e-06,-8,-15.0,1,30.0,-0.113148036763,0,100.0
70.7797660639,9.04081138958,-2.05132539682,0.217677766655,0.221611135744,-21.3961665048,5.93454266146e-07,1.92422986779e-06,-8,-15.0,0,-0.113148036763,-0.122811019632,0,100.0
63.7898341724,8.99638970422,-2.19597540739,0.228691488198,0.316645712657,-21.1510881114,1.05986942879e-06,2.14062214837e-06,-8,15.0,0,-0.122811019632,-0.136692894433,0,100.0
72.1461503483,8.99215360758,-2.36178053798,0.314871035108,0.304932869694,-20.9282971646,1.74062896925e-06,2.33485243411e-06,-8,15.0,0,-0.136692894433,-0.149208936594,0,100.0
75.5134483383,8.83587513819,-2.73098527281,0.392741574481,0.309289797955,-20.7138722269,2.60435282527e-06,2.51835840838e-06,-16,15.0,0,-0.149208936594,-0.161091029376,0,100.0
77.1379357521,8.85065141318,-3.14037598254,0.458812015269,0.326086932487,-20.7009048662,3.62043224602e-06,2.69633519196e-06,-16,15.0,0,-0.161091029376,-0.172671421506,0,100.0
79.388376964,9.04642731034,-3.59032390263,0.538962264367,0.324944094785,-20.5005629056,4.82256663661e-06,2.84869479359e-06,-16,15.0,0,-0.172671421506,-0.182673803297,0,100.0
77.5557399641,9.15262121126,-3.80709973684,0.545401827356,0.40926750335,-20.573486051,6.03346097675e-06,3.04201511622e-06,-7,15.0,0,-0.182673803297,-0.195335184574,0,100.0
81.391400658,9.28055783998,-4.04173334935,0.686219513436,0.34142915406,-20.4397719846,7.57178395761e-06,3.15985858956e-06,-7,15.0,0,-0.195335184574,-0.203252549606,0,100.0
84.2290426018,9.03719223006,-4.29337082587,0.871641768949,0.229463237753,-20.5023228776,9.53148299472e-06,3.16793720682e-06,-7,15.0,0,-0.203252549606,-0.204221486809,0,100.0
84.9725094677,9.04267369095,-4.56172884782,0.990456571628,0.186656503204,-20.6050770448,1.17577926483e-05,3.11899791493e-06,-7,15.0,0,-0.204221486809,-0.201571546602,0,100.0
84.9170891746,9.29085710423,-4.5208639442,1.0454560296,0.210183657589,-20.6077350902,1.41076177152e-05,3.06254922457e-06,1,15.0,0,-0.204221486809,-0.19844945247,0,100.0
85.1578844611,9.40709205446,-4.47756990928,1.16128524854,0.170741308958,-20.2007639842,1.67165385972e-05,2.96033856854e-06,1,15.0,0,-0.204221486809,-0.192394046088,0,100.0
83.827890139,9.49966568105,-4.43186225035,1.14718499249,0.269189295127,-20.5036050876,1.92955303647e-05,2.9259802766e-06,1,15.0,0,-0.192394046088,-0.19071901565,0,100.0
84.1400970574,9.18919299694,-4.38388997355,1.32748522039,0.161793690633,-21.0131840848,2.22774177955e-05,2.79898850267e-06,1,15.0,0,-0.19071901565,-0.183062588844,0,100.0
83.237698511,9.09790369493,-4.28358042827,1.34963980023,0.215927310428,-20.9802338566,2.53103791926e-05,2.70554305212e-06,2,15.0,0,-0.183062588844,-0.177565757107,0,100.0
82.2032442777,9.16122439278,-4.17893319256,1.33804609238,0.303307056464,-20.7428523162,2.83185479973e-05,2.67397861741e-06,2,15.0,0,-0.177565757108,-0.176100983923,0,100.0
81.3415011418,9.09701318115,-4.07007537251,1.37015843917,0.344705974906,-20.9990149518,3.1399080709e-05,2.67375577743e-06,2,15.0,0,-0.176100983923,-0.176712016447,0,100.0
81.5949300214,9.05072927218,-4.07007537251,1.51728804045,0.260286022511,-20.7765704884,3.48096022223e-05,2.59972976633e-06,0,15.0,0,-0.176712016447,-0.17249818899,0,100.0
81.4686559999,8.98966595722,-4.07007537251,1.61926292362,0.222389591427,-20.5268997177,3.8448319846e-05,2.48281771766e-06,0,15.0,0,-0.176712016447,-0.165437977009,0,100.0
81.689608329,9.03391171464,-4.07007537251,1.7993970251,0.100886409836,-20.5072477388,4.24877559695e-05,2.25973289022e-06,0,15.0,0,-0.176712016447,-0.151283893308,0,100.0
81.1875769957,8.95675674875,-4.07007537251,1.85235075625,0.112253632028,-20.2019153632,4.66462885275e-05,2.03412937198e-06,0,15.0,0,-0.176712016447,-0.136845258892,0,100.0
80.3850257216,8.91161271044,-3.941645542,1.81322821872,0.218570565964,-20.4956239551,5.07201950775e-05,1.88355452187e-06,2,15.0,0,-0.176712016447,-0.127324476179,0,100.0
