AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-44.9950723031,8.22173828151,45.0,45.0,0.001,0.0,180,1.58979101503e-09,1.58979101503e-09,0,0,0,0,-0.000101399276085,0,0
-44.9950706217,8.06839883076,45.0,45.0,0.000981684361111,0.0,180,3.15046399192e-09,3.15046399192e-09,0,0,1,-30.0,-0.000200941708748,0,100.0
-44.9951528644,8.05501229621,45.0,45.0,0.00096370418485,0.0,180,4.68255224615e-09,4.68255224615e-09,0,-15.0,1,-30.0,-0.000298661294594,0,100.0
-44.6334585483,8.26178654366,44.9362577482,45.0,0.0747457439473,0.0,180,1.23512664385e-07,1.23512664385e-07,-14,-15.0,1,-30.0,-0.00787889390015,0,100.0
-44.2041007926,8.23994604913,44.8419165377,44.9362577482,0.149070875645,0.0,180,3.60767712344e-07,3.60240400512e-07,-14,-15.0,1,-30.0,-0.0229858670842,0,100.0
-43.7537635972,8.19236103771,44.7177202567,44.8419165377,0.220631158265,0.0,180,7.12491575826e-07,7.10028732981e-07,-14,-15.0,1,-30.0,-0.0453225644245,0,100.0
-43.3116081552,8.32827498055,44.5749801128,44.7177202567,0.290451746416,0.0,180,1.17651848549e-06,1.16950576885e-06,-13,-15.0,1,-30.0,-0.0746904947503,0,100.0
-42.8966228071,8.60277145442,44.4045148727,44.5749801128,0.359003493536,0.0,180,1.75147702334e-06,1.73599688196e-06,-13,-15.0,1,-30.0,-0.110940477807,0,100.0
AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-44.9995019892,8.13521209789,45.0,45.0,0.0001,0.0,180,1.58979101503e-10,1.58979101503e-10,0,0,0,0,-1.01399114579e-05,0,0
-44.9995048831,8.03288963416,45.0,45.0,9.81684361111e-05,0.0,180,3.15046399192e-10,3.15046399192e-10,0,0,0,0,-2.00941074501e-05,0,0
-44.9995129367,8.01615230816,45.0,45.0,9.6370418485e-05,0.0,180,4.68255224615e-10,4.68255224615e-10,0,-15.0,0,0,-2.98659893475e-05,0,0
-44.6300305012,8.05300734087,44.9375825257,45.0,0.0735382623442,0.0,180,1.17378723961e-07,1.17378723961e-07,-14,-15.0,1,-30.0,-0.00748755766604,0,100.0
-44.2051996354,8.06639028383,44.8452109166,44.9375825257,0.145972683389,0.0,180,3.49697457244e-07,3.4919183625e-07,-14,-15.0,1,-30.0,-0.0222806164935,0,100.0
-43.7888426644,8.26312556722,44.7226753528,44.8452109166,0.216024948242,0.0,180,6.94058540114e-07,6.9169729029e-07,-14,-15.0,1,-30.0,-0.044151525288,0,100.0
-43.2937895767,8.08668269256,44.582303169,44.7226753528,0.286567908693,0.0,180,1.15184140739e-06,1.14506992259e-06,-13,-15.0,1,-30.0,-0.0731278894725,0,100.0
-42.8422515132,8.16124798276,44.4157196432,44.582303169,0.353047874226,0.0,180,1.71719057379e-06,1.70223560314e-06,-13,-15.0,1,-30.0,-0.108778777544,0,100.0
-42.3497625071,8.13374951214,44.2239737969,44.4157196432,0.418971608669,0.0,180,2.39002552274e-06,2.36148598652e-06,-13,-15.0,1,-30.0,-0.151020332963,0,100.0
-41.8663067495,8.1764288727,44.0237848964,44.2239737969,0.482256965807,0.0,180,3.16702685696e-06,3.11771959125e-06,-12,-15.0,1,-30.0,-0.199555252246,0,100.0
